scene_name,candidate_id,best_iou,error_type,gt_class,feature_exported,yolo_class,yolo_exact,alpha_class,alpha_score,alpha_exact
scene0019_01,0,0.004448048756512337,weak_or_wrong_geometry,door,True,couch,False,ledge,0.04662191867828369,False
scene0019_01,1,0.31165521825836473,partial_overlap,door,True,door,True,projector,0.06119456887245178,False
scene0019_01,2,0.0,background_or_non_instance,,True,bathroom stall door,False,pillar,0.04785120487213135,False
scene0019_01,3,0.0,background_or_non_instance,,True,refrigerator,False,computer tower,0.07536248862743378,False
scene0019_01,4,0.25014442518775276,partial_overlap,door,True,lamp,False,shower wall,0.2033490389585495,False
scene0019_01,5,0.0170503909643788,weak_or_wrong_geometry,door,True,mat,False,computer tower,0.04796111211180687,False
scene0019_01,6,0.38966539601863615,mixed_multiple_instances,armchair,True,armchair,True,seat,0.098528653383255,False
scene0019_01,7,0.510744043268528,mixed_multiple_instances,couch,True,couch,True,mouse,0.05487361550331116,False
scene0019_01,8,0.0005412719891745603,weak_or_wrong_geometry,couch,True,closet wall,False,shower wall,0.06353186815977097,False
scene0019_01,9,0.0,background_or_non_instance,,True,tv stand,False,printer,0.03872763738036156,False
scene0019_01,10,0.022264631043257,weak_or_wrong_geometry,lamp,False,,False,,0.0,False
scene0019_01,11,0.0,background_or_non_instance,,False,,False,,0.0,False
scene0019_01,12,0.00484420005236973,weak_or_wrong_geometry,door,True,lamp,False,computer tower,0.05403309687972069,False
scene0019_01,13,0.0,background_or_non_instance,,True,bathroom stall door,False,folded chair,0.059548426419496536,False
scene0019_01,14,0.0,background_or_non_instance,,True,doorframe,False,paper towel roll,0.09957623481750488,False
scene0019_01,15,0.04437541601952518,weak_or_wrong_geometry,armchair,True,candle,False,pillar,0.05548354983329773,False
scene0019_01,16,0.0,background_or_non_instance,,False,,False,,0.0,False
scene0019_01,17,0.0,background_or_non_instance,,True,refrigerator,False,paper towel roll,0.19596582651138306,False
scene0019_01,18,0.010783450704225352,weak_or_wrong_geometry,door,False,,False,,0.0,False
scene0019_01,19,0.00021249468763280918,weak_or_wrong_geometry,door,True,bathroom stall door,False,stairs,0.05714527890086174,False
scene0084_01,0,0.4844760672703752,overmerged_or_boundary_leakage,bathroom counter,True,counter,False,soap dish,0.04039771482348442,False
scene0084_01,1,0.09933774834437085,mixed_multiple_instances,doorframe,True,door,False,shower wall,0.03344130143523216,False
scene0084_01,2,0.8260869565217391,good_geometry,object,True,cup,False,water pitcher,0.07211816310882568,False
scene0084_01,3,0.15948275862068967,overmerged_or_boundary_leakage,mirror,True,shower wall,False,shower wall,0.08646746724843979,False
scene0084_01,4,0.8317880794701987,good_geometry,trash can,True,trash bin,False,projector,0.060706865042448044,False
scene0084_01,5,0.0011082051509375415,weak_or_wrong_geometry,trash can,False,,False,,0.0,False
scene0084_01,6,0.21981981981981982,fragment_or_undercoverage,jacket,True,counter,False,ball,0.04080325365066528,False
scene0084_01,7,0.2169155038444327,weak_or_wrong_geometry,shower wall,True,shower wall,True,shower wall,0.2555251717567444,True
scene0084_01,8,0.0,background_or_non_instance,,True,counter,False,counter,0.03655998408794403,False
scene0084_01,9,0.3423076923076923,fragment_or_undercoverage,sink,True,pipe,False,guitar,0.06640692055225372,False
scene0084_01,10,0.8518348623853211,good_geometry,door,False,,False,,0.0,False
scene0084_01,11,0.17061188030370703,mixed_multiple_instances,doorframe,True,door,False,shower wall,0.054694145917892456,False
scene0084_01,12,0.9094972067039107,good_geometry,sign,True,container,False,pillar,0.054176002740859985,False
scene0084_01,13,0.8558823529411764,good_geometry,soap dispenser,True,telephone,False,tissue box,0.03071683645248413,False
scene0084_01,14,0.45539906103286387,mixed_multiple_instances,object,True,bottle,False,window,0.03681504353880882,False
scene0084_01,15,0.0,background_or_non_instance,,True,book,False,projector,0.04661032184958458,False
scene0084_02,0,0.809143686502177,good_geometry,trash can,True,trash bin,False,projector,0.046986401081085205,False
scene0084_02,1,0.012291404988336623,weak_or_wrong_geometry,bathroom counter,True,bathroom stall,False,shower wall,0.2163553237915039,False
scene0084_02,2,0.3651776980762961,mixed_multiple_instances,bathroom counter,True,counter,False,shoe,0.09013119339942932,False
scene0084_02,3,0.0011165698972755694,weak_or_wrong_geometry,shower curtain,True,shower floor,False,ceiling,0.04297846555709839,False
scene0084_02,4,0.03116099849220975,weak_or_wrong_geometry,seat,True,shower,False,shower wall,0.1891803741455078,False
scene0084_02,5,0.8476190476190476,good_geometry,paper towel dispenser,True,paper towel dispenser,True,projector,0.04736614599823952,False
scene0084_02,6,0.0,background_or_non_instance,,True,container,False,pillar,0.35832855105400085,False
scene0084_02,7,0.12481787275376396,mixed_multiple_instances,mirror,True,shower wall,False,projector screen,0.03453376516699791,False
scene0084_02,8,0.25064822817631804,fragment_or_undercoverage,sink,False,,False,,0.0,False
scene0084_02,9,0.7552742616033755,good_geometry,soap dispenser,True,bottle,False,shower wall,0.05083299055695534,False
