scene_name,gt_instance_id,gt_class,gt_point_count,baseline_best_iou,baseline_best_mask_id,sam2_best_iou,sam2_best_candidate_id,sam2_best_class,sam2_best_score,sam2_semantic_exact,sam2_minus_baseline_iou,coverage_iou25,sam2_improves_iou25,coverage_iou50,sam2_improves_iou50
scene0019_01,2002,chair,2130,0.8541569902461681,16,0.0,-1,,0.0,False,-0.8541569902461681,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,2009,chair,2226,0.4958371877890842,12,0.0,-1,,0.0,False,-0.4958371877890842,baseline_covered_sam2_missed,False,both_missed,False
scene0019_01,5018,door,7265,0.10107296137339056,20,0.3003545313538666,0,divider,0.32758578658103943,False,0.19928156998047603,baseline_missed_sam2_covered,True,both_missed,False
scene0019_01,5019,door,4491,0.936655592469546,3,0.001282051282051282,3,mat,0.15825681388378143,False,-0.9353735411874947,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,6010,couch,4907,0.5602416918429003,4,0.510744043268528,5,couch,0.20131146907806396,True,-0.04949764857437233,both_covered,False,both_covered,False
scene0019_01,13023,pillow,885,0.7181467181467182,5,0.14781818181818182,5,couch,0.20131146907806396,False,-0.5703285363285363,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,13024,pillow,1193,0.8834870075440067,1,0.0006045035514583648,5,couch,0.20131146907806396,False,-0.8828825039925483,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,23003,armchair,2298,0.500469263256687,10,0.0,-1,,0.0,False,-0.500469263256687,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,23004,armchair,4367,0.0,0,0.2993592609149158,4,armchair,0.6185359358787537,True,0.2993592609149158,baseline_missed_sam2_covered,True,both_missed,False
scene0019_01,23005,armchair,1403,0.34244569196973396,10,0.0,-1,,0.0,False,-0.34244569196973396,baseline_covered_sam2_missed,False,both_missed,False
scene0019_01,23006,armchair,1017,0.38742857142857146,12,0.0,-1,,0.0,False,-0.38742857142857146,baseline_covered_sam2_missed,False,both_missed,False
scene0019_01,23007,armchair,2121,0.2659028727770178,15,0.0,-1,,0.0,False,-0.2659028727770178,baseline_covered_sam2_missed,False,both_missed,False
scene0019_01,23008,armchair,1394,0.258435438265787,15,0.0,-1,,0.0,False,-0.258435438265787,baseline_covered_sam2_missed,False,both_missed,False
scene0019_01,23022,armchair,2209,0.0,0,0.38966539601863615,4,armchair,0.6185359358787537,True,0.38966539601863615,baseline_missed_sam2_covered,True,both_missed,False
scene0019_01,23025,armchair,2405,0.7379310344827587,11,0.0,-1,,0.0,False,-0.7379310344827587,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,28020,lamp,835,0.9089820359281438,2,0.0,-1,,0.0,False,-0.9089820359281438,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0019_01,56021,trash can,1612,0.9061270376616076,0,0.0,-1,,0.0,False,-0.9061270376616076,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
scene0084_01,5008,door,4345,0.9500575373993095,4,0.8518348623853211,8,door,0.49811607599258423,True,-0.0982226750139884,both_covered,False,both_covered,False
scene0084_01,14014,sink,741,0.562753036437247,0,0.3423076923076923,7,pipe,0.34729376435279846,False,-0.22044534412955463,both_covered,False,baseline_covered_sam2_missed,False
scene0084_01,16047,window,1857,0.9094025465230167,9,0.0,-1,,0.0,False,-0.9094025465230167,baseline_covered_sam2_missed,False,baseline_covered_sam2_missed,False
