scene_name,gt_instance_id,gt_class,gt_point_count,mask3d_best_iou,threshold,prompt_class_id,class_in_yoloworld_prompts,usable_visible_frame_count,box_covered_frame_count,best_box_point_coverage,mean_box_point_coverage,best_box_score,same_class_box_count,reliable_2d_box
scene0019_01,2009,chair,2226,0.4958371877890842,0.5,0,True,0,0,0.0,0.0,0.0,0,False
scene0019_01,5018,door,7265,0.10107296137339056,0.25,2,True,14,4,0.9947293736063247,0.28360064384024153,0.4480278789997101,11,True
scene0019_01,5018,door,7265,0.10107296137339056,0.5,2,True,14,4,0.9947293736063247,0.28360064384024153,0.4480278789997101,11,True
scene0019_01,23004,armchair,4367,0.0,0.25,18,True,8,8,1.0,0.9811959193348678,0.607937753200531,12,True
scene0019_01,23004,armchair,4367,0.0,0.5,18,True,8,8,1.0,0.9811959193348678,0.607937753200531,12,True
scene0019_01,23005,armchair,1403,0.34244569196973396,0.5,18,True,0,0,0.0,0.0,0.0,0,False
scene0019_01,23006,armchair,1017,0.38742857142857146,0.5,18,True,0,0,0.0,0.0,0.0,0,False
scene0019_01,23007,armchair,2121,0.2659028727770178,0.5,18,True,0,0,0.0,0.0,0.0,0,False
scene0019_01,23008,armchair,1394,0.258435438265787,0.5,18,True,0,0,0.0,0.0,0.0,0,False
scene0019_01,23022,armchair,2209,0.0,0.25,18,True,7,7,1.0,0.998812821527503,0.607937753200531,10,True
scene0019_01,23022,armchair,2209,0.0,0.5,18,True,7,7,1.0,0.998812821527503,0.607937753200531,10,True
scene0084_01,49017,toilet paper,101,0.0,0.25,40,True,7,0,0.0,0.0,0.0,0,False
scene0084_01,49017,toilet paper,101,0.0,0.5,40,True,7,0,0.0,0.0,0.0,0,False
scene0084_01,55005,shower curtain,4015,0.04697781178270849,0.25,45,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,55005,shower curtain,4015,0.04697781178270849,0.5,45,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,71024,mirror,299,0.2129032258064516,0.25,59,True,4,0,0.0,0.0,0.0,0,False
scene0084_01,71024,mirror,299,0.2129032258064516,0.5,59,True,4,0,0.0,0.0,0.0,0,False
scene0084_01,128030,shower wall,18601,0.005134653672849209,0.25,99,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,128030,shower wall,18601,0.005134653672849209,0.5,99,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,1163015,object,101,0.0,0.25,170,True,17,0,0.0,0.0,0.08336593955755234,1,False
scene0084_01,1163015,object,101,0.0,0.5,170,True,17,0,0.0,0.0,0.08336593955755234,1,False
scene0084_01,1163019,object,223,0.0,0.25,170,True,15,0,0.0,0.0,0.08336593955755234,1,False
scene0084_01,1163019,object,223,0.0,0.5,170,True,15,0,0.0,0.0,0.08336593955755234,1,False
scene0084_01,1163031,object,154,0.0,0.25,170,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,1163031,object,154,0.0,0.5,170,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,1179034,shower head,317,0.0,0.25,185,True,0,0,0.0,0.0,0.0,0,False
scene0084_01,1179034,shower head,317,0.0,0.5,185,True,0,0,0.0,0.0,0.0,0,False
scene0084_02,14024,sink,1157,0.28396694214876034,0.5,10,True,16,2,0.5336927223719676,0.3970292300310492,0.7484893202781677,20,True
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,0.25,92,True,0,0,0.0,0.0,0.0,0,False
scene0084_02,115043,toilet paper holder,203,0.13120567375886524,0.5,92,True,0,0,0.0,0.0,0.0,0,False
scene0084_02,1163028,object,167,0.0,0.25,170,True,5,0,0.0,0.0,0.0,0,False
scene0084_02,1163028,object,167,0.0,0.5,170,True,5,0,0.0,0.0,0.0,0,False
scene0084_02,1163037,object,156,0.0,0.25,170,True,1,0,0.0,0.0,0.0,0,False
scene0084_02,1163037,object,156,0.0,0.5,170,True,1,0,0.0,0.0,0.0,0,False
scene0100_00,31030,towel,457,0.3380177514792899,0.5,24,True,0,0,0.0,0.0,0.0,0,False
scene0100_00,130020,cup,239,0.31629392971246006,0.5,100,True,17,11,0.6811594202898551,0.4009368922594902,0.4451618194580078,28,True
scene0169_01,2027,chair,3115,0.47006755182855814,0.5,0,True,17,0,0.0,0.0,0.206401064991951,2,False
scene0169_01,16013,window,3340,0.07588878760255241,0.25,12,True,12,0,0.0,0.0,0.0,0,False
scene0169_01,16013,window,3340,0.07588878760255241,0.5,12,True,12,0,0.0,0.0,0.0,0,False
scene0207_01,7013,cabinet,4715,0.33022269353128314,0.5,4,True,0,0,0.0,0.0,0.0,0,False
